Frame,Person1_head,Person1_neck,Person1_left_ear,Person1_right_ear,Person1_left_shoulder,Person1_left_elbow,Person1_left_hand,Person1_right_shoulder,Person1_right_elbow,Person1_right_hand,Person2_head,Person2_neck,Person2_left_ear,Person2_right_ear,Person2_left_shoulder,Person2_left_elbow,Person2_left_hand,Person2_right_shoulder,Person2_right_elbow,Person2_right_hand,Person3_head,Person3_neck,Person3_left_ear,Person3_right_ear,Person3_left_shoulder,Person3_left_elbow,Person3_left_hand,Person3_right_shoulder,Person3_right_elbow,Person3_right_hand,Person4_head,Person4_neck,Person4_left_ear,Person4_right_ear,Person4_left_shoulder,Person4_left_elbow,Person4_left_hand,Person4_right_shoulder,Person4_right_elbow,Person4_right_hand
0,"(212.33,290.13,1.00)","(211.43,361.23,1.00)","(175.70,312.25,0.99)","(256.20,317.07,1.00)","(153.05,372.75,0.95)","(0.00,0.00,0.03)","(0.00,0.00,0.00)","(291.75,382.91,1.00)","(351.02,362.52,1.00)","(357.74,282.07,0.98)","(564.59,217.77,1.00)","(573.92,295.86,1.00)","(523.44,247.60,1.00)","(609.37,237.26,1.00)","(486.73,307.57,1.00)","(426.07,321.49,0.99)","(440.28,252.92,0.89)","(637.43,307.59,1.00)","(697.91,327.23,1.00)","(683.39,231.40,1.00)","(940.61,335.73,1.00)","(928.56,380.26,1.00)","(896.41,335.72,1.00)","(965.88,338.33,1.00)","(856.75,390.91,1.00)","(819.85,319.27,1.00)","(865.29,302.71,1.00)","(981.21,383.13,0.99)","(996.82,343.66,1.00)","(979.35,279.31,1.00)","(1223.66,310.95,1.00)","(1217.54,365.49,1.00)","(1183.49,331.28,1.00)","(1247.41,323.55,1.00)","(1150.30,361.60,1.00)","(1106.48,335.98,1.00)","(1150.95,298.90,0.93)","(1254.79,349.49,0.99)","(1253.27,312.77,0.98)","(1241.95,258.29,1.00)"
1,"(211.87,291.69,1.00)","(213.14,363.89,1.00)","(176.72,313.72,0.99)","(255.40,316.45,1.00)","(153.04,375.00,0.96)","(0.00,0.00,0.07)","(0.00,0.00,0.00)","(291.50,382.68,1.00)","(350.39,363.85,1.00)","(354.70,282.54,0.99)","(565.06,215.54,1.00)","(573.23,296.02,1.00)","(524.02,248.15,1.00)","(609.25,238.68,1.00)","(487.25,307.83,1.00)","(427.13,320.70,0.99)","(439.51,252.40,0.92)","(636.09,306.20,1.00)","(696.80,326.42,1.00)","(682.43,231.17,1.00)","(933.42,334.80,1.00)","(919.43,381.13,1.00)","(890.61,334.80,1.00)","(960.28,340.65,1.00)","(851.95,386.85,1.00)","(820.38,315.45,1.00)","(864.45,301.51,1.00)","(976.78,384.96,0.99)","(995.50,343.66,1.00)","(980.79,277.69,1.00)","(1223.82,310.38,1.00)","(1217.94,366.01,1.00)","(1184.04,332.09,1.00)","(1247.64,323.22,1.00)","(1151.14,361.69,1.00)","(1107.03,336.95,1.00)","(1151.88,298.50,0.93)","(1255.23,349.05,0.99)","(1253.43,312.34,0.98)","(1241.66,258.07,1.00)"
2,"(211.97,291.69,1.00)","(213.08,363.79,1.00)","(176.61,313.57,0.99)","(255.47,316.49,1.00)","(152.95,374.89,0.96)","(0.00,0.00,0.07)","(0.00,0.00,0.00)","(291.48,382.82,1.00)","(350.09,363.71,1.00)","(354.54,282.54,0.99)","(565.17,216.00,1.00)","(573.62,295.97,1.00)","(524.09,248.12,1.00)","(609.45,238.19,1.00)","(487.12,307.95,1.00)","(427.04,320.57,0.99)","(439.21,252.39,0.92)","(636.39,306.49,1.00)","(696.72,326.33,1.00)","(682.82,231.34,1.00)","(933.45,334.95,1.00)","(919.79,381.03,1.00)","(890.64,334.98,1.00)","(960.26,340.36,1.00)","(852.06,386.57,1.00)","(820.21,315.56,1.00)","(864.58,301.83,1.00)","(976.92,384.55,0.99)","(995.54,343.47,1.00)","(980.88,277.68,1.00)","(1223.82,310.58,1.00)","(1217.90,365.78,1.00)","(1184.08,332.07,1.00)","(1247.55,323.17,1.00)","(1151.11,361.65,1.00)","(1107.19,336.66,1.00)","(1152.01,298.51,0.93)","(1255.19,349.01,0.99)","(1253.43,312.28,0.98)","(1241.62,258.05,1.00)"
3,"(211.97,291.52,1.00)","(213.05,363.70,1.00)","(176.75,313.47,0.99)","(255.35,316.35,1.00)","(153.08,374.75,0.96)","(0.00,0.00,0.07)","(0.00,0.00,0.00)","(291.23,382.57,1.00)","(350.06,363.75,1.00)","(354.47,282.41,0.99)","(564.75,215.62,1.00)","(573.09,295.99,1.00)","(523.68,248.14,1.00)","(608.89,238.53,1.00)","(487.27,307.88,1.00)","(427.16,320.69,0.99)","(439.47,252.53,0.92)","(636.06,306.24,1.00)","(696.95,326.42,1.00)","(681.84,230.64,1.00)","(933.44,334.84,1.00)","(919.71,381.10,1.00)","(890.59,335.13,1.00)","(960.30,340.42,1.00)","(851.99,386.47,1.00)","(820.24,315.44,1.00)","(864.53,301.57,1.00)","(976.85,384.46,0.99)","(995.59,343.56,1.00)","(980.86,277.75,1.00)","(1223.86,310.71,1.00)","(1217.95,365.84,1.00)","(1184.13,332.12,1.00)","(1247.58,323.25,1.00)","(1150.91,361.86,1.00)","(1107.02,336.72,1.00)","(1152.18,298.54,0.93)","(1255.32,349.20,0.99)","(1253.40,312.34,0.98)","(1241.65,257.99,1.00)"
4,"(211.76,292.16,1.00)","(212.58,364.03,1.00)","(176.78,313.98,0.99)","(254.75,317.05,1.00)","(152.87,375.25,0.96)","(0.00,0.00,0.08)","(0.00,0.00,0.00)","(290.44,382.90,1.00)","(349.76,364.06,1.00)","(354.63,282.67,0.99)","(565.23,214.83,1.00)","(573.41,295.99,1.00)","(524.19,248.26,1.00)","(609.34,238.53,1.00)","(488.19,307.67,1.00)","(427.35,320.56,0.99)","(439.02,252.20,0.94)","(635.94,305.72,1.00)","(696.41,326.38,1.00)","(683.20,231.70,1.00)","(930.41,334.84,1.00)","(917.99,381.99,1.00)","(888.51,338.18,1.00)","(957.17,338.07,1.00)","(851.13,386.58,0.99)","(818.21,314.36,0.99)","(863.51,300.53,0.98)","(975.55,382.93,0.99)","(996.05,343.79,1.00)","(981.04,277.30,1.00)","(1223.67,310.47,1.00)","(1217.84,365.98,1.00)","(1184.04,332.04,1.00)","(1247.60,323.31,1.00)","(1151.12,361.04,1.00)","(1107.53,336.14,1.00)","(1151.98,298.25,0.94)","(1255.22,349.07,0.99)","(1253.49,312.14,0.98)","(1241.59,258.04,1.00)"
5,"(211.67,292.16,1.00)","(212.50,363.97,1.00)","(176.77,313.95,0.99)","(254.63,317.04,1.00)","(152.77,375.48,0.96)","(0.00,0.00,0.08)","(0.00,0.00,0.00)","(290.37,382.82,1.00)","(349.67,363.92,1.00)","(354.48,282.59,0.99)","(565.27,214.74,1.00)","(573.36,296.03,1.00)","(524.26,248.36,1.00)","(609.33,238.73,1.00)","(488.30,307.66,1.00)","(427.43,320.60,0.99)","(439.12,252.37,0.94)","(635.83,305.63,1.00)","(696.25,326.31,1.00)","(682.98,231.74,1.00)","(930.50,334.74,1.00)","(918.62,382.08,1.00)","(888.64,338.44,1.00)","(957.33,337.76,1.00)","(851.45,386.53,1.00)","(818.13,314.30,0.99)","(863.90,299.83,0.98)","(975.96,382.72,0.99)","(996.31,343.43,1.00)","(980.92,277.41,1.00)","(1223.62,310.35,1.00)","(1217.85,365.86,1.00)","(1184.08,332.02,1.00)","(1247.55,323.15,1.00)","(1151.08,361.04,1.00)","(1107.53,336.21,1.00)","(1152.01,298.28,0.94)","(1255.21,348.98,0.99)","(1253.48,312.12,0.98)","(1241.58,258.05,1.00)"
6,"(211.71,292.10,1.00)","(212.71,364.14,1.00)","(176.70,314.03,0.99)","(254.85,317.06,1.00)","(152.96,375.32,0.96)","(0.00,0.00,0.08)","(0.00,0.00,0.00)","(290.69,382.77,1.00)","(349.92,364.23,1.00)","(354.59,282.66,0.99)","(565.19,214.85,1.00)","(573.39,296.00,1.00)","(524.18,248.30,1.00)","(609.30,238.52,1.00)","(488.18,307.71,1.00)","(427.37,320.59,0.99)","(439.09,252.28,0.94)","(635.93,305.74,1.00)","(696.41,326.38,1.00)","(683.13,231.67,1.00)","(930.31,334.85,1.00)","(917.58,382.07,1.00)","(888.46,338.00,1.00)","(957.05,338.47,1.00)","(850.95,386.43,0.99)","(818.11,314.06,0.99)","(863.48,300.36,0.98)","(975.39,383.16,0.99)","(996.00,343.84,1.00)","(981.08,277.28,1.00)","(1223.67,310.50,1.00)","(1217.87,365.94,1.00)","(1184.06,332.07,1.00)","(1247.57,323.21,1.00)","(1151.05,361.11,1.00)","(1107.52,336.09,1.00)","(1152.06,298.26,0.93)","(1255.27,349.05,0.99)","(1253.51,312.14,0.98)","(1241.59,258.03,1.00)"
7,"(211.84,292.19,1.00)","(212.16,364.04,1.00)","(176.63,313.45,0.99)","(255.03,317.72,1.00)","(152.34,376.03,0.96)","(0.00,0.00,0.08)","(0.00,0.00,0.00)","(291.28,381.57,1.00)","(350.10,364.38,1.00)","(354.52,282.58,0.99)","(564.83,214.62,1.00)","(573.33,296.19,1.00)","(523.90,248.29,1.00)","(608.83,239.09,1.00)","(489.67,307.25,1.00)","(427.51,320.69,0.99)","(442.33,254.15,0.89)","(636.31,305.39,1.00)","(696.54,326.51,1.00)","(682.41,231.50,1.00)","(926.02,334.11,1.00)","(910.75,379.55,1.00)","(887.23,333.63,1.00)","(951.98,339.36,1.00)","(849.67,383.54,0.99)","(815.77,307.89,0.99)","(863.04,297.64,0.88)","(971.69,386.20,0.99)","(995.89,345.21,1.00)","(980.67,277.82,1.00)","(1223.96,310.43,1.00)","(1218.00,365.76,1.00)","(1184.19,331.92,1.00)","(1247.79,323.23,1.00)","(1150.19,360.98,1.00)","(1107.22,335.88,1.00)","(1152.52,298.40,0.92)","(1255.43,349.31,0.99)","(1253.61,312.44,0.98)","(1241.89,257.98,1.00)"
8,"(212.08,293.62,1.00)","(211.23,363.97,1.00)","(177.34,311.98,0.99)","(254.16,316.42,1.00)","(152.20,377.25,0.95)","(0.00,0.00,0.08)","(0.00,0.00,0.00)","(291.44,382.62,1.00)","(350.16,363.29,1.00)","(354.03,282.62,0.99)","(565.08,216.97,1.00)","(575.32,296.99,1.00)","(525.97,249.18,1.00)","(609.07,237.68,1.00)","(491.56,306.79,1.00)","(428.99,319.90,1.00)","(439.34,249.49,0.98)","(635.80,305.62,1.00)","(696.65,327.82,1.00)","(682.12,234.00,1.00)","(923.52,330.96,1.00)","(904.87,377.62,0.99)","(886.70,329.11,1.00)","(947.80,344.52,1.00)","(849.59,380.77,1.00)","(818.41,310.62,0.99)","(864.04,298.32,0.93)","(968.67,388.47,0.98)","(994.20,346.68,1.00)","(982.91,277.96,1.00)","(1224.17,310.09,1.00)","(1218.85,366.54,1.00)","(1184.16,331.71,1.00)","(1248.17,323.60,1.00)","(1149.42,361.12,1.00)","(1106.08,335.69,1.00)","(1152.42,298.79,0.94)","(1255.51,350.51,0.99)","(1253.55,312.91,0.97)","(1242.18,257.99,1.00)"
9,"(211.77,293.10,1.00)","(212.56,364.79,1.00)","(176.34,313.92,0.99)","(255.69,318.35,1.00)","(152.64,376.85,0.95)","(0.00,0.00,0.06)","(0.00,0.00,0.00)","(292.49,380.51,1.00)","(350.24,364.40,1.00)","(354.46,282.80,0.99)","(565.75,216.32,1.00)","(573.97,296.29,1.00)","(525.04,247.62,1.00)","(609.69,239.40,1.00)","(490.60,306.95,1.00)","(427.62,320.38,0.99)","(443.07,253.32,0.92)","(636.45,305.72,1.00)","(696.01,326.69,1.00)","(682.40,233.08,1.00)","(924.56,334.66,1.00)","(908.72,379.06,1.00)","(886.96,333.02,1.00)","(950.32,339.81,1.00)","(848.89,382.49,0.99)","(816.85,307.80,0.99)","(862.75,296.61,0.81)","(970.77,385.57,0.99)","(995.22,344.19,1.00)","(980.30,277.30,1.00)","(1223.76,310.49,1.00)","(1218.50,365.64,1.00)","(1184.32,331.91,1.00)","(1247.79,323.06,1.00)","(1149.98,361.88,1.00)","(1106.36,336.38,1.00)","(1152.16,298.92,0.93)","(1255.41,349.16,0.99)","(1253.43,312.12,0.97)","(1241.82,258.08,1.00)"
