Frame 0, Person 0:
  Keypoint 0: (x=679.24, y=465.68, confidence=1.00)
  Keypoint 1: (x=657.59, y=560.34, confidence=1.00)
  Keypoint 2: (x=620.32, y=512.23, confidence=1.00)
  Keypoint 3: (x=706.18, y=534.42, confidence=1.00)
  Keypoint 4: (x=585.75, y=538.80, confidence=1.00)
  Keypoint 5: (x=561.66, y=496.89, confidence=1.00)
  Keypoint 6: (x=600.69, y=421.80, confidence=1.00)
  Keypoint 7: (x=734.21, y=553.49, confidence=1.00)
  Keypoint 8: (x=794.56, y=489.77, confidence=1.00)
  Keypoint 9: (x=813.94, y=388.67, confidence=1.00)
Frame 0, Person 1:
  Keypoint 0: (x=299.38, y=481.98, confidence=1.00)
  Keypoint 1: (x=298.56, y=570.33, confidence=1.00)
  Keypoint 2: (x=259.57, y=540.63, confidence=1.00)
  Keypoint 3: (x=345.91, y=533.47, confidence=1.00)
  Keypoint 4: (x=240.28, y=539.34, confidence=1.00)
  Keypoint 5: (x=239.77, y=484.01, confidence=1.00)
  Keypoint 6: (x=310.91, y=455.83, confidence=1.00)
  Keypoint 7: (x=381.13, y=559.95, confidence=1.00)
  Keypoint 8: (x=431.34, y=508.22, confidence=1.00)
  Keypoint 9: (x=380.04, y=483.86, confidence=0.97)
Frame 0, Person 2:
  Keypoint 0: (x=1069.02, y=459.47, confidence=1.00)
  Keypoint 1: (x=1062.12, y=560.71, confidence=1.00)
  Keypoint 2: (x=1023.70, y=511.83, confidence=1.00)
  Keypoint 3: (x=1109.55, y=513.04, confidence=1.00)
  Keypoint 4: (x=961.54, y=533.47, confidence=1.00)
  Keypoint 5: (x=890.17, y=525.48, confidence=1.00)
  Keypoint 6: (x=955.79, y=440.18, confidence=1.00)
  Keypoint 7: (x=1116.50, y=531.14, confidence=0.99)
  Keypoint 8: (x=1121.30, y=492.22, confidence=0.97)
  Keypoint 9: (x=1101.64, y=446.70, confidence=0.99)
Frame 1, Person 0:
  Keypoint 0: (x=679.24, y=465.69, confidence=1.00)
  Keypoint 1: (x=657.60, y=560.38, confidence=1.00)
  Keypoint 2: (x=620.32, y=512.27, confidence=1.00)
  Keypoint 3: (x=706.17, y=534.45, confidence=1.00)
  Keypoint 4: (x=585.74, y=538.84, confidence=1.00)
  Keypoint 5: (x=561.64, y=496.86, confidence=1.00)
  Keypoint 6: (x=600.67, y=421.82, confidence=1.00)
  Keypoint 7: (x=734.30, y=553.45, confidence=1.00)
  Keypoint 8: (x=794.61, y=489.78, confidence=1.00)
  Keypoint 9: (x=813.94, y=388.61, confidence=1.00)
Frame 1, Person 1:
  Keypoint 0: (x=299.27, y=481.99, confidence=1.00)
  Keypoint 1: (x=298.60, y=570.32, confidence=1.00)
  Keypoint 2: (x=259.56, y=540.60, confidence=1.00)
  Keypoint 3: (x=345.89, y=533.37, confidence=1.00)
  Keypoint 4: (x=240.28, y=539.43, confidence=1.00)
  Keypoint 5: (x=239.74, y=484.04, confidence=1.00)
  Keypoint 6: (x=310.64, y=455.91, confidence=1.00)
  Keypoint 7: (x=381.30, y=559.74, confidence=1.00)
  Keypoint 8: (x=431.34, y=508.21, confidence=1.00)
  Keypoint 9: (x=379.94, y=483.97, confidence=0.97)
Frame 1, Person 2:
  Keypoint 0: (x=1069.01, y=459.58, confidence=1.00)
  Keypoint 1: (x=1062.10, y=560.67, confidence=1.00)
  Keypoint 2: (x=1023.76, y=511.82, confidence=1.00)
  Keypoint 3: (x=1109.46, y=513.00, confidence=1.00)
  Keypoint 4: (x=961.79, y=533.49, confidence=1.00)
  Keypoint 5: (x=890.28, y=525.42, confidence=1.00)
  Keypoint 6: (x=955.97, y=440.19, confidence=1.00)
  Keypoint 7: (x=1116.39, y=531.24, confidence=0.99)
  Keypoint 8: (x=1121.29, y=492.65, confidence=0.97)
  Keypoint 9: (x=1101.73, y=446.88, confidence=0.99)
Frame 2, Person 0:
  Keypoint 0: (x=674.56, y=465.47, confidence=1.00)
  Keypoint 1: (x=654.20, y=559.52, confidence=1.00)
  Keypoint 2: (x=616.62, y=511.90, confidence=1.00)
  Keypoint 3: (x=702.78, y=532.93, confidence=1.00)
  Keypoint 4: (x=583.94, y=537.50, confidence=1.00)
  Keypoint 5: (x=560.82, y=494.14, confidence=1.00)
  Keypoint 6: (x=601.97, y=419.17, confidence=1.00)
  Keypoint 7: (x=731.41, y=553.01, confidence=1.00)
  Keypoint 8: (x=793.76, y=489.65, confidence=1.00)
  Keypoint 9: (x=813.77, y=388.76, confidence=1.00)
Frame 2, Person 1:
  Keypoint 0: (x=299.23, y=482.73, confidence=1.00)
  Keypoint 1: (x=300.09, y=571.31, confidence=1.00)
  Keypoint 2: (x=260.68, y=542.12, confidence=1.00)
  Keypoint 3: (x=346.09, y=533.24, confidence=1.00)
  Keypoint 4: (x=240.78, y=540.49, confidence=1.00)
  Keypoint 5: (x=238.56, y=485.20, confidence=1.00)
  Keypoint 6: (x=309.29, y=455.97, confidence=1.00)
  Keypoint 7: (x=383.55, y=556.90, confidence=1.00)
  Keypoint 8: (x=431.57, y=505.47, confidence=1.00)
  Keypoint 9: (x=377.18, y=480.06, confidence=0.97)
Frame 2, Person 2:
  Keypoint 0: (x=1069.16, y=459.28, confidence=1.00)
  Keypoint 1: (x=1061.86, y=560.84, confidence=1.00)
  Keypoint 2: (x=1023.79, y=511.58, confidence=1.00)
  Keypoint 3: (x=1109.56, y=513.09, confidence=1.00)
  Keypoint 4: (x=961.31, y=533.42, confidence=1.00)
  Keypoint 5: (x=890.30, y=525.61, confidence=1.00)
  Keypoint 6: (x=955.92, y=440.16, confidence=1.00)
  Keypoint 7: (x=1116.18, y=531.95, confidence=0.99)
  Keypoint 8: (x=1121.30, y=493.15, confidence=0.97)
  Keypoint 9: (x=1102.11, y=447.44, confidence=0.99)
Frame 3, Person 0:
  Keypoint 0: (x=674.48, y=465.62, confidence=1.00)
  Keypoint 1: (x=654.28, y=559.58, confidence=1.00)
  Keypoint 2: (x=616.65, y=512.00, confidence=1.00)
  Keypoint 3: (x=702.78, y=532.94, confidence=1.00)
  Keypoint 4: (x=583.95, y=537.49, confidence=1.00)
  Keypoint 5: (x=560.80, y=494.19, confidence=1.00)
  Keypoint 6: (x=601.97, y=419.14, confidence=1.00)
  Keypoint 7: (x=731.39, y=552.94, confidence=1.00)
  Keypoint 8: (x=793.73, y=489.62, confidence=1.00)
  Keypoint 9: (x=813.76, y=388.80, confidence=1.00)
Frame 3, Person 1:
  Keypoint 0: (x=299.14, y=482.73, confidence=1.00)
  Keypoint 1: (x=300.09, y=571.34, confidence=1.00)
