Frame 0, Person 0:
  Keypoint 0: (x=178.16, y=273.49, confidence=1.00) head 
  Keypoint 1: (x=150.83, y=333.87, confidence=1.00) left ear
  Keypoint 2: (x=225.44, y=319.55, confidence=1.00) right ear
  Keypoint 3: (x=192.45, y=370.50, confidence=1.00) neck
  Keypoint 4: (x=266.60, y=377.45, confidence=1.00) right shoulder
  Keypoint 5: (x=145.08, y=381.75, confidence=1.00) left shoulder
  Keypoint 6: (x=113.44, y=471.45, confidence=1.00) left arm
  Keypoint 7: (x=333.92, y=428.53, confidence=0.99) right arm
  Keypoint 8: (x=330.45, y=311.75, confidence=0.99) right hand
  Keypoint 9: (x=0.00, y=0.00, confidence=0.02)     left hand
Frame 0, Person 1:
  Keypoint 0: (x=884.36, y=265.35, confidence=1.00)
  Keypoint 1: (x=843.76, y=320.15, confidence=1.00)
  Keypoint 2: (x=925.41, y=324.71, confidence=1.00)
  Keypoint 3: (x=882.54, y=360.63, confidence=1.00)
  Keypoint 4: (x=928.57, y=365.27, confidence=0.99)
  Keypoint 5: (x=811.76, y=362.01, confidence=1.00)
  Keypoint 6: (x=767.28, y=370.47, confidence=0.98)
  Keypoint 7: (x=959.77, y=391.75, confidence=0.98)
  Keypoint 8: (x=963.74, y=304.68, confidence=0.98)
  Keypoint 9: (x=821.47, y=313.33, confidence=1.00)
Frame 0, Person 2:
  Keypoint 0: (x=589.38, y=274.08, confidence=1.00)
  Keypoint 1: (x=555.91, y=332.14, confidence=1.00)
  Keypoint 2: (x=635.66, y=319.75, confidence=1.00)
  Keypoint 3: (x=593.33, y=372.42, confidence=1.00)
  Keypoint 4: (x=654.74, y=381.51, confidence=1.00)
  Keypoint 5: (x=514.95, y=381.63, confidence=1.00)
  Keypoint 6: (x=436.66, y=389.72, confidence=1.00)
  Keypoint 7: (x=708.22, y=360.81, confidence=0.99)
  Keypoint 8: (x=677.25, y=275.25, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 0, Person 3:
  Keypoint 0: (x=1231.33, y=242.86, confidence=0.98)
  Keypoint 1: (x=1185.00, y=282.49, confidence=0.98)
  Keypoint 2: (x=1262.58, y=293.78, confidence=0.97)
  Keypoint 3: (x=1222.07, y=326.90, confidence=0.96)
  Keypoint 4: (x=1250.86, y=339.71, confidence=0.97)
  Keypoint 5: (x=1127.82, y=322.80, confidence=0.96)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.09)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
