,head,neck,left_ear,right_ear,left_shoulder,left_elbow,left_hand,right_shoulder,right_elbow,right_hand,head,neck,left_ear,right_ear,left_shoulder,left_elbow,left_hand,right_shoulder,right_elbow,right_hand
0,0.15,0.152,0.125,0.182,0.113,0.111,0.0,0.22,0.0,0.0,0.529,0.61,0.555,0.561,0.595,0.537,0.0,0.591,0.0,0.0
1,0.149,0.154,0.125,0.181,0.113,0.112,0.0,0.218,0.0,0.0,0.527,0.612,0.557,0.559,0.597,0.541,0.0,0.593,0.0,0.0
2,0.149,0.152,0.125,0.182,0.113,0.111,0.0,0.219,0.0,0.0,0.529,0.61,0.554,0.561,0.595,0.537,0.0,0.591,0.0,0.0
3,0.15,0.152,0.125,0.182,0.113,0.111,0.0,0.219,0.0,0.0,0.528,0.61,0.554,0.561,0.594,0.538,0.0,0.591,0.0,0.0
4,0.149,0.152,0.125,0.182,0.113,0.111,0.0,0.219,0.0,0.0,0.528,0.61,0.554,0.561,0.594,0.538,0.0,0.591,0.0,0.0
5,0.149,0.152,0.125,0.182,0.113,0.111,0.0,0.219,0.0,0.0,0.529,0.61,0.554,0.561,0.594,0.538,0.0,0.591,0.0,0.0
6,0.15,0.152,0.125,0.182,0.113,0.111,0.0,0.22,0.0,0.0,0.53,0.61,0.554,0.56,0.595,0.537,0.0,0.591,0.0,0.0
7,0.15,0.152,0.125,0.182,0.113,0.111,0.0,0.221,0.0,0.0,0.531,0.61,0.554,0.561,0.595,0.536,0.0,0.591,0.0,0.0
8,0.15,0.152,0.125,0.182,0.112,0.111,0.0,0.22,0.0,0.0,0.53,0.61,0.554,0.561,0.594,0.536,0.0,0.592,0.0,0.0
9,0.15,0.151,0.125,0.183,0.112,0.111,0.0,0.22,0.0,0.0,0.53,0.61,0.553,0.561,0.594,0.536,0.0,0.592,0.0,0.0
10,0.15,0.152,0.125,0.183,0.112,0.111,0.0,0.22,0.0,0.0,0.53,0.61,0.554,0.561,0.594,0.536,0.0,0.592,0.0,0.0
11,0.15,0.151,0.125,0.182,0.113,0.111,0.0,0.219,0.0,0.0,0.529,0.61,0.553,0.562,0.594,0.536,0.0,0.592,0.0,0.0
12,0.15,0.151,0.125,0.182,0.113,0.111,0.0,0.219,0.0,0.0,0.53,0.61,0.553,0.562,0.594,0.536,0.0,0.592,0.0,0.0
13,0.15,0.151,0.125,0.182,0.113,0.111,0.0,0.219,0.0,0.0,0.529,0.609,0.552,0.562,0.593,0.536,0.0,0.592,0.0,0.0
14,0.15,0.151,0.125,0.182,0.112,0.111,0.0,0.22,0.0,0.0,0.529,0.61,0.552,0.562,0.594,0.536,0.0,0.592,0.0,0.0
15,0.15,0.151,0.125,0.182,0.113,0.111,0.146,0.219,0.0,0.0,0.529,0.61,0.553,0.562,0.593,0.537,0.489,0.592,0.0,0.0
16,0.15,0.151,0.125,0.182,0.113,0.111,0.146,0.219,0.0,0.0,0.531,0.61,0.553,0.563,0.593,0.539,0.489,0.59,0.0,0.0
17,0.149,0.151,0.125,0.182,0.113,0.111,0.146,0.218,0.0,0.0,0.532,0.61,0.552,0.564,0.592,0.54,0.487,0.591,0.0,0.0
18,0.149,0.153,0.126,0.18,0.113,0.113,0.147,0.218,0.0,0.0,0.531,0.612,0.554,0.562,0.593,0.542,0.483,0.592,0.0,0.0
19,0.149,0.15,0.125,0.182,0.113,0.112,0.0,0.221,0.0,0.0,0.533,0.609,0.552,0.563,0.594,0.537,0.0,0.59,0.0,0.0
20,0.149,0.15,0.125,0.181,0.113,0.112,0.147,0.22,0.0,0.0,0.534,0.609,0.552,0.563,0.594,0.538,0.489,0.59,0.0,0.0
21,0.149,0.151,0.125,0.181,0.113,0.112,0.146,0.22,0.0,0.0,0.533,0.609,0.552,0.563,0.594,0.538,0.489,0.59,0.0,0.0
22,0.149,0.151,0.125,0.181,0.113,0.112,0.146,0.221,0.0,0.0,0.534,0.609,0.552,0.563,0.594,0.538,0.489,0.59,0.0,0.0
23,0.149,0.15,0.126,0.181,0.113,0.112,0.147,0.221,0.0,0.0,0.534,0.609,0.551,0.564,0.594,0.538,0.489,0.59,0.0,0.0
24,0.149,0.15,0.125,0.181,0.113,0.112,0.146,0.22,0.0,0.0,0.534,0.61,0.552,0.563,0.594,0.538,0.489,0.59,0.0,0.0
